iter	Accuracy	MultiClass
199	0.9436076414	0.1488564315
200	0.9437913299	0.1484306112
201	0.9443423953	0.1481673322
202	0.9444342395	0.1478590886
203	0.9444342395	0.1477224343
204	0.9444342395	0.1475145574
205	0.9447097722	0.1472932113
206	0.944617928	0.1471373109
207	0.944617928	0.1469611821
208	0.9448934607	0.1466708818
209	0.9447097722	0.1463574789
210	0.9448016165	0.1461646631
